Bet_Type,User_ID,Bet_Amount,Odds,Payout,Profit,ROI,Overall_Result,Parlay_Details
Single,53,128.17,2.91,372.97,244.8,1.91,Win,"[{'Pick_ID': 636, 'User_ID': 53, 'Player_ID': 48, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 1.2, 'Actual_Stat': 1.14, 'Result': 'Win', 'Single_Odds': 2.91}]"
Parlay,35,34.25,13.31,455.95,421.7,12.312,Win,"[{'Pick_ID': 637, 'User_ID': 35, 'Player_ID': 183, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Under', 'Projection': 328.38, 'Actual_Stat': 285.06, 'Result': 'Win', 'Single_Odds': 2.94}, {'Pick_ID': 638, 'User_ID': 35, 'Player_ID': 162, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 358.34, 'Actual_Stat': 331.58, 'Result': 'Win', 'Single_Odds': 2.83}, {'Pick_ID': 639, 'User_ID': 35, 'Player_ID': 281, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 73.76, 'Actual_Stat': 75.13, 'Result': 'Win', 'Single_Odds': 1.6}]"
Single,191,37.15,2.41,0,-37.15,-1,Loss,"[{'Pick_ID': 640, 'User_ID': 191, 'Player_ID': 219, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 363.09, 'Actual_Stat': 318.87, 'Result': 'Loss', 'Single_Odds': 2.41}]"
Parlay,121,154.34,3.52,0,-154.34,-1,Loss,"[{'Pick_ID': 641, 'User_ID': 121, 'Player_ID': 259, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 1.63, 'Actual_Stat': 1.4, 'Result': 'Win', 'Single_Odds': 1.75}, {'Pick_ID': 642, 'User_ID': 121, 'Player_ID': 189, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 362.45, 'Actual_Stat': 343.52, 'Result': 'Loss', 'Single_Odds': 2.01}]"
Single,27,137.11,1.7,0,-137.11,-1,Loss,"[{'Pick_ID': 643, 'User_ID': 27, 'Player_ID': 157, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.43, 'Actual_Stat': 2.26, 'Result': 'Loss', 'Single_Odds': 1.7}]"
Single,68,20.27,2.84,0,-20.27,-1,Loss,"[{'Pick_ID': 644, 'User_ID': 68, 'Player_ID': 165, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 295.89, 'Actual_Stat': 256.94, 'Result': 'Loss', 'Single_Odds': 2.84}]"
Parlay,169,64.34,10.13,0,-64.34,-1,Loss,"[{'Pick_ID': 645, 'User_ID': 169, 'Player_ID': 6, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.36, 'Actual_Stat': 2.35, 'Result': 'Loss', 'Single_Odds': 1.73}, {'Pick_ID': 646, 'User_ID': 169, 'Player_ID': 221, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 4.88, 'Actual_Stat': 5.74, 'Result': 'Win', 'Single_Odds': 2.42}, {'Pick_ID': 647, 'User_ID': 169, 'Player_ID': 16, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.04, 'Actual_Stat': 2.01, 'Result': 'Win', 'Single_Odds': 2.42}]"
Single,52,59.18,1.71,0,-59.18,-1,Loss,"[{'Pick_ID': 648, 'User_ID': 52, 'Player_ID': 22, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 3.02, 'Actual_Stat': 2.52, 'Result': 'Loss', 'Single_Odds': 1.71}]"
Single,153,92.97,2.43,225.92,132.95,1.43,Win,"[{'Pick_ID': 649, 'User_ID': 153, 'Player_ID': 36, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 2.68, 'Actual_Stat': 2.33, 'Result': 'Win', 'Single_Odds': 2.43}]"
Parlay,195,112.53,5.78,0,-112.53,-1,Loss,"[{'Pick_ID': 650, 'User_ID': 195, 'Player_ID': 98, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 129.82, 'Actual_Stat': 123.77, 'Result': 'Loss', 'Single_Odds': 2.92}, {'Pick_ID': 651, 'User_ID': 195, 'Player_ID': 98, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 129.82, 'Actual_Stat': 123.77, 'Result': 'Loss', 'Single_Odds': 1.98}]"
Single,36,165.01,2.62,432.33,267.32,1.62,Win,"[{'Pick_ID': 652, 'User_ID': 36, 'Player_ID': 266, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 4.44, 'Actual_Stat': 3.61, 'Result': 'Win', 'Single_Odds': 2.62}]"
Single,22,32.73,1.78,0,-32.73,-1,Loss,"[{'Pick_ID': 653, 'User_ID': 22, 'Player_ID': 88, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 3.8, 'Actual_Stat': 3.46, 'Result': 'Loss', 'Single_Odds': 1.78}]"
Single,87,150.01,2.51,0,-150.01,-1,Loss,"[{'Pick_ID': 654, 'User_ID': 87, 'Player_ID': 207, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 1.99, 'Actual_Stat': 1.81, 'Result': 'Loss', 'Single_Odds': 2.51}]"
Single,48,10.44,2.97,31.01,20.57,1.97,Win,"[{'Pick_ID': 655, 'User_ID': 48, 'Player_ID': 162, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 358.34, 'Actual_Stat': 331.58, 'Result': 'Win', 'Single_Odds': 2.97}]"
Single,111,133.77,1.57,0,-133.77,-1,Loss,"[{'Pick_ID': 656, 'User_ID': 111, 'Player_ID': 268, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 350.83, 'Actual_Stat': 378.34, 'Result': 'Loss', 'Single_Odds': 1.57}]"
Single,104,35.73,2.91,0,-35.73,-1,Loss,"[{'Pick_ID': 657, 'User_ID': 104, 'Player_ID': 25, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 1.39, 'Actual_Stat': 1.29, 'Result': 'Loss', 'Single_Odds': 2.91}]"
Single,119,71.49,1.81,129.4,57.91,0.81,Win,"[{'Pick_ID': 658, 'User_ID': 119, 'Player_ID': 157, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.43, 'Actual_Stat': 2.26, 'Result': 'Win', 'Single_Odds': 1.81}]"
Single,76,20.22,2.82,57.02,36.8,1.82,Win,"[{'Pick_ID': 659, 'User_ID': 76, 'Player_ID': 34, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Under', 'Projection': 166.68, 'Actual_Stat': 166.45, 'Result': 'Win', 'Single_Odds': 2.82}]"
Single,153,104.29,2.09,217.97,113.68,1.09,Win,"[{'Pick_ID': 660, 'User_ID': 153, 'Player_ID': 113, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 1.64, 'Actual_Stat': 1.42, 'Result': 'Win', 'Single_Odds': 2.09}]"
Parlay,58,36.75,6.26,0,-36.75,-1,Loss,"[{'Pick_ID': 661, 'User_ID': 58, 'Player_ID': 145, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 333.71, 'Actual_Stat': 302.78, 'Result': 'Loss', 'Single_Odds': 2.18}, {'Pick_ID': 662, 'User_ID': 58, 'Player_ID': 236, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 1.81, 'Actual_Stat': 1.62, 'Result': 'Loss', 'Single_Odds': 2.87}]"
Single,124,132.53,1.72,0,-132.53,-1,Loss,"[{'Pick_ID': 663, 'User_ID': 124, 'Player_ID': 188, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 3.81, 'Actual_Stat': 4.04, 'Result': 'Loss', 'Single_Odds': 1.72}]"
Single,8,29.58,1.99,58.86,29.28,0.99,Win,"[{'Pick_ID': 664, 'User_ID': 8, 'Player_ID': 71, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 2.13, 'Actual_Stat': 2.4, 'Result': 'Win', 'Single_Odds': 1.99}]"
Single,112,114.42,1.62,185.36,70.94,0.62,Win,"[{'Pick_ID': 665, 'User_ID': 112, 'Player_ID': 134, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 4.34, 'Actual_Stat': 4.79, 'Result': 'Win', 'Single_Odds': 1.62}]"
Single,160,16.12,2.27,0,-16.12,-1,Loss,"[{'Pick_ID': 666, 'User_ID': 160, 'Player_ID': 286, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 3.06, 'Actual_Stat': 3.58, 'Result': 'Loss', 'Single_Odds': 2.27}]"
Single,4,199.85,2.29,457.66,257.81,1.29,Win,"[{'Pick_ID': 667, 'User_ID': 4, 'Player_ID': 73, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 294.28, 'Actual_Stat': 307.83, 'Result': 'Win', 'Single_Odds': 2.29}]"
Single,43,157.88,1.97,311.02,153.14,0.97,Win,"[{'Pick_ID': 668, 'User_ID': 43, 'Player_ID': 170, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 3.12, 'Actual_Stat': 3.32, 'Result': 'Win', 'Single_Odds': 1.97}]"
Parlay,197,37.73,17.72,0,-37.73,-1,Loss,"[{'Pick_ID': 669, 'User_ID': 197, 'Player_ID': 193, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.03, 'Actual_Stat': 2.7, 'Result': 'Loss', 'Single_Odds': 2.55}, {'Pick_ID': 670, 'User_ID': 197, 'Player_ID': 121, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.5, 'Actual_Stat': 2.48, 'Result': 'Loss', 'Single_Odds': 2.75}, {'Pick_ID': 671, 'User_ID': 197, 'Player_ID': 1, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.78, 'Actual_Stat': 3.31, 'Result': 'Loss', 'Single_Odds': 1.63}, {'Pick_ID': 672, 'User_ID': 197, 'Player_ID': 169, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 283.77, 'Actual_Stat': 323.56, 'Result': 'Loss', 'Single_Odds': 1.55}]"
Single,193,71.25,1.6,0,-71.25,-1,Loss,"[{'Pick_ID': 673, 'User_ID': 193, 'Player_ID': 100, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 1.48, 'Actual_Stat': 1.23, 'Result': 'Loss', 'Single_Odds': 1.6}]"
Parlay,57,79.7,13.67,1089.59,1009.89,12.671,Win,"[{'Pick_ID': 674, 'User_ID': 57, 'Player_ID': 165, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 295.89, 'Actual_Stat': 256.94, 'Result': 'Win', 'Single_Odds': 2.9}, {'Pick_ID': 675, 'User_ID': 57, 'Player_ID': 116, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 4.24, 'Actual_Stat': 4.51, 'Result': 'Win', 'Single_Odds': 2.43}, {'Pick_ID': 676, 'User_ID': 57, 'Player_ID': 57, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 234.13, 'Actual_Stat': 258.21, 'Result': 'Win', 'Single_Odds': 1.94}]"
Single,66,150.62,2.73,411.19,260.57,1.73,Win,"[{'Pick_ID': 677, 'User_ID': 66, 'Player_ID': 260, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 75.86, 'Actual_Stat': 83.95, 'Result': 'Win', 'Single_Odds': 2.73}]"
Single,123,146.56,1.86,272.6,126.04,0.86,Win,"[{'Pick_ID': 678, 'User_ID': 123, 'Player_ID': 15, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 318.5, 'Actual_Stat': 318.84, 'Result': 'Win', 'Single_Odds': 1.86}]"
Parlay,39,69.29,5.06,0,-69.29,-1,Loss,"[{'Pick_ID': 679, 'User_ID': 39, 'Player_ID': 122, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 2.53, 'Actual_Stat': 2.25, 'Result': 'Win', 'Single_Odds': 2.26}, {'Pick_ID': 680, 'User_ID': 39, 'Player_ID': 88, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 3.8, 'Actual_Stat': 3.46, 'Result': 'Loss', 'Single_Odds': 2.24}]"
Single,84,47.08,1.59,0,-47.08,-1,Loss,"[{'Pick_ID': 681, 'User_ID': 84, 'Player_ID': 300, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 4.32, 'Actual_Stat': 3.98, 'Result': 'Loss', 'Single_Odds': 1.59}]"
Single,41,63.7,1.58,100.65,36.95,0.58,Win,"[{'Pick_ID': 682, 'User_ID': 41, 'Player_ID': 257, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 2.48, 'Actual_Stat': 2.94, 'Result': 'Win', 'Single_Odds': 1.58}]"
Single,13,158.86,1.99,316.13,157.27,0.99,Win,"[{'Pick_ID': 683, 'User_ID': 13, 'Player_ID': 220, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Over', 'Projection': 283.19, 'Actual_Stat': 291.99, 'Result': 'Win', 'Single_Odds': 1.99}]"
Single,78,183.97,2.61,0,-183.97,-1,Loss,"[{'Pick_ID': 684, 'User_ID': 78, 'Player_ID': 219, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 363.09, 'Actual_Stat': 318.87, 'Result': 'Loss', 'Single_Odds': 2.61}]"
Parlay,103,26.67,15.64,0,-26.67,-1,Loss,"[{'Pick_ID': 685, 'User_ID': 103, 'Player_ID': 297, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.03, 'Actual_Stat': 1.74, 'Result': 'Loss', 'Single_Odds': 2.03}, {'Pick_ID': 686, 'User_ID': 103, 'Player_ID': 213, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.28, 'Actual_Stat': 2.57, 'Result': 'Loss', 'Single_Odds': 2.29}, {'Pick_ID': 687, 'User_ID': 103, 'Player_ID': 160, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 4.95, 'Actual_Stat': 5.73, 'Result': 'Loss', 'Single_Odds': 1.55}, {'Pick_ID': 688, 'User_ID': 103, 'Player_ID': 90, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 1.37, 'Actual_Stat': 1.4, 'Result': 'Loss', 'Single_Odds': 2.17}]"
Single,199,28.39,2.66,75.52,47.13,1.66,Win,"[{'Pick_ID': 689, 'User_ID': 199, 'Player_ID': 50, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 2.45, 'Actual_Stat': 2.38, 'Result': 'Win', 'Single_Odds': 2.66}]"
Parlay,88,183.49,9.24,0,-183.49,-1,Loss,"[{'Pick_ID': 690, 'User_ID': 88, 'Player_ID': 44, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 4.96, 'Actual_Stat': 5.5, 'Result': 'Loss', 'Single_Odds': 1.85}, {'Pick_ID': 691, 'User_ID': 88, 'Player_ID': 32, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 3.2, 'Actual_Stat': 3.08, 'Result': 'Win', 'Single_Odds': 2.6}, {'Pick_ID': 692, 'User_ID': 88, 'Player_ID': 113, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 1.64, 'Actual_Stat': 1.42, 'Result': 'Loss', 'Single_Odds': 1.92}]"
Parlay,126,97.99,2.82,0,-97.99,-1,Loss,"[{'Pick_ID': 693, 'User_ID': 126, 'Player_ID': 263, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 154.37, 'Actual_Stat': 128.03, 'Result': 'Loss', 'Single_Odds': 1.75}, {'Pick_ID': 694, 'User_ID': 126, 'Player_ID': 193, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.03, 'Actual_Stat': 2.7, 'Result': 'Loss', 'Single_Odds': 1.61}]"
Single,16,147.52,2.61,385.03,237.51,1.61,Win,"[{'Pick_ID': 695, 'User_ID': 16, 'Player_ID': 65, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 1.6, 'Actual_Stat': 1.68, 'Result': 'Win', 'Single_Odds': 2.61}]"
Parlay,14,120,19.1,0,-120,-1,Loss,"[{'Pick_ID': 696, 'User_ID': 14, 'Player_ID': 273, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Over', 'Projection': 1.33, 'Actual_Stat': 1.09, 'Result': 'Loss', 'Single_Odds': 2.8}, {'Pick_ID': 697, 'User_ID': 14, 'Player_ID': 148, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Over', 'Projection': 87.38, 'Actual_Stat': 94.73, 'Result': 'Win', 'Single_Odds': 2.07}, {'Pick_ID': 698, 'User_ID': 14, 'Player_ID': 249, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 141.13, 'Actual_Stat': 161.84, 'Result': 'Win', 'Single_Odds': 1.54}, {'Pick_ID': 699, 'User_ID': 14, 'Player_ID': 287, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.41, 'Actual_Stat': 2.63, 'Result': 'Win', 'Single_Odds': 2.14}]"
Parlay,185,12.82,4.09,52.45,39.63,3.092,Win,"[{'Pick_ID': 700, 'User_ID': 185, 'Player_ID': 264, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Over', 'Projection': 269.93, 'Actual_Stat': 293.47, 'Result': 'Win', 'Single_Odds': 1.93}, {'Pick_ID': 701, 'User_ID': 185, 'Player_ID': 29, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Under', 'Projection': 244.8, 'Actual_Stat': 221.33, 'Result': 'Win', 'Single_Odds': 2.12}]"
Single,95,267.69,2.72,0,-267.69,-1,Loss,"[{'Pick_ID': 702, 'User_ID': 95, 'Player_ID': 72, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 273.77, 'Actual_Stat': 226.86, 'Result': 'Loss', 'Single_Odds': 2.72}]"
Parlay,137,27.34,6.1,0,-27.34,-1,Loss,"[{'Pick_ID': 703, 'User_ID': 137, 'Player_ID': 186, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 388.32, 'Actual_Stat': 423.94, 'Result': 'Win', 'Single_Odds': 2.64}, {'Pick_ID': 704, 'User_ID': 137, 'Player_ID': 180, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 1.07, 'Actual_Stat': 0.93, 'Result': 'Loss', 'Single_Odds': 2.31}]"
Single,64,66.05,2.96,195.51,129.46,1.96,Win,"[{'Pick_ID': 705, 'User_ID': 64, 'Player_ID': 37, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.68, 'Actual_Stat': 4.31, 'Result': 'Win', 'Single_Odds': 2.96}]"
Single,167,115.26,2.27,0,-115.26,-1,Loss,"[{'Pick_ID': 706, 'User_ID': 167, 'Player_ID': 63, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Under', 'Projection': 253.02, 'Actual_Stat': 284.56, 'Result': 'Loss', 'Single_Odds': 2.27}]"
Single,134,48.83,2.4,117.19,68.36,1.4,Win,"[{'Pick_ID': 707, 'User_ID': 134, 'Player_ID': 262, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 3.72, 'Actual_Stat': 4.18, 'Result': 'Win', 'Single_Odds': 2.4}]"
Single,198,97.39,2.04,198.68,101.29,1.04,Win,"[{'Pick_ID': 708, 'User_ID': 198, 'Player_ID': 73, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 294.28, 'Actual_Stat': 307.83, 'Result': 'Win', 'Single_Odds': 2.04}]"
Single,136,35.59,2.3,0,-35.59,-1,Loss,"[{'Pick_ID': 709, 'User_ID': 136, 'Player_ID': 36, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 2.68, 'Actual_Stat': 2.33, 'Result': 'Loss', 'Single_Odds': 2.3}]"
Parlay,143,130.63,3.35,437.48,306.85,2.349,Win,"[{'Pick_ID': 710, 'User_ID': 143, 'Player_ID': 104, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 98.88, 'Actual_Stat': 95.7, 'Result': 'Win', 'Single_Odds': 1.97}, {'Pick_ID': 711, 'User_ID': 143, 'Player_ID': 48, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 1.2, 'Actual_Stat': 1.14, 'Result': 'Win', 'Single_Odds': 1.7}]"
Single,169,100.87,2.4,242.09,141.22,1.4,Win,"[{'Pick_ID': 712, 'User_ID': 169, 'Player_ID': 287, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.41, 'Actual_Stat': 2.63, 'Result': 'Win', 'Single_Odds': 2.4}]"
Parlay,157,74.87,5.62,421.01,346.14,4.623,Win,"[{'Pick_ID': 713, 'User_ID': 157, 'Player_ID': 271, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.91, 'Actual_Stat': 2.87, 'Result': 'Win', 'Single_Odds': 2.64}, {'Pick_ID': 714, 'User_ID': 157, 'Player_ID': 218, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.84, 'Actual_Stat': 4.0, 'Result': 'Win', 'Single_Odds': 2.13}]"
Parlay,84,69.42,7.46,0,-69.42,-1,Loss,"[{'Pick_ID': 715, 'User_ID': 84, 'Player_ID': 73, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 294.28, 'Actual_Stat': 307.83, 'Result': 'Win', 'Single_Odds': 2.73}, {'Pick_ID': 716, 'User_ID': 84, 'Player_ID': 21, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 1.78, 'Actual_Stat': 1.83, 'Result': 'Loss', 'Single_Odds': 1.81}, {'Pick_ID': 717, 'User_ID': 84, 'Player_ID': 25, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 1.39, 'Actual_Stat': 1.29, 'Result': 'Win', 'Single_Odds': 1.51}]"
Parlay,192,81.07,4.74,384.52,303.45,3.743,Win,"[{'Pick_ID': 718, 'User_ID': 192, 'Player_ID': 66, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.64, 'Actual_Stat': 2.36, 'Result': 'Win', 'Single_Odds': 2.55}, {'Pick_ID': 719, 'User_ID': 192, 'Player_ID': 49, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 3.87, 'Actual_Stat': 3.83, 'Result': 'Win', 'Single_Odds': 1.86}]"
Single,146,50.04,1.87,93.57,43.53,0.87,Win,"[{'Pick_ID': 720, 'User_ID': 146, 'Player_ID': 198, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 134.19, 'Actual_Stat': 126.86, 'Result': 'Win', 'Single_Odds': 1.87}]"
Single,175,947.69,2.23,2113.35,1165.66,1.23,Win,"[{'Pick_ID': 721, 'User_ID': 175, 'Player_ID': 16, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.04, 'Actual_Stat': 2.01, 'Result': 'Win', 'Single_Odds': 2.23}]"
Parlay,123,163.11,9.51,0,-163.11,-1,Loss,"[{'Pick_ID': 722, 'User_ID': 123, 'Player_ID': 181, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.24, 'Actual_Stat': 3.17, 'Result': 'Loss', 'Single_Odds': 1.88}, {'Pick_ID': 723, 'User_ID': 123, 'Player_ID': 178, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 244.46, 'Actual_Stat': 289.81, 'Result': 'Loss', 'Single_Odds': 1.82}, {'Pick_ID': 724, 'User_ID': 123, 'Player_ID': 134, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 4.34, 'Actual_Stat': 4.79, 'Result': 'Loss', 'Single_Odds': 2.78}]"
Parlay,113,61.12,2.39,0,-61.12,-1,Loss,"[{'Pick_ID': 725, 'User_ID': 113, 'Player_ID': 125, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Over', 'Projection': 4.94, 'Actual_Stat': 4.49, 'Result': 'Loss', 'Single_Odds': 1.58}, {'Pick_ID': 726, 'User_ID': 113, 'Player_ID': 52, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 1.49, 'Actual_Stat': 1.74, 'Result': 'Loss', 'Single_Odds': 1.51}]"
Single,106,85.08,1.87,0,-85.08,-1,Loss,"[{'Pick_ID': 727, 'User_ID': 106, 'Player_ID': 122, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 2.53, 'Actual_Stat': 2.25, 'Result': 'Loss', 'Single_Odds': 1.87}]"
Single,1,133.3,2.13,0,-133.3,-1,Loss,"[{'Pick_ID': 728, 'User_ID': 1, 'Player_ID': 95, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 2.43, 'Actual_Stat': 2.88, 'Result': 'Loss', 'Single_Odds': 2.13}]"
Single,104,170.08,2.77,471.12,301.04,1.77,Win,"[{'Pick_ID': 729, 'User_ID': 104, 'Player_ID': 288, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 3.35, 'Actual_Stat': 2.83, 'Result': 'Win', 'Single_Odds': 2.77}]"
Single,161,103.02,2.51,0,-103.02,-1,Loss,"[{'Pick_ID': 730, 'User_ID': 161, 'Player_ID': 142, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 230.11, 'Actual_Stat': 249.9, 'Result': 'Loss', 'Single_Odds': 2.51}]"
Parlay,52,25.63,12.81,0,-25.63,-1,Loss,"[{'Pick_ID': 731, 'User_ID': 52, 'Player_ID': 51, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 3.67, 'Actual_Stat': 3.34, 'Result': 'Win', 'Single_Odds': 2.3}, {'Pick_ID': 732, 'User_ID': 52, 'Player_ID': 166, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 4.44, 'Actual_Stat': 4.12, 'Result': 'Win', 'Single_Odds': 1.94}, {'Pick_ID': 733, 'User_ID': 52, 'Player_ID': 208, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 203.13, 'Actual_Stat': 185.73, 'Result': 'Win', 'Single_Odds': 1.74}, {'Pick_ID': 734, 'User_ID': 52, 'Player_ID': 123, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 60.16, 'Actual_Stat': 51.44, 'Result': 'Loss', 'Single_Odds': 1.65}]"
Single,89,97.86,1.72,168.32,70.46,0.72,Win,"[{'Pick_ID': 735, 'User_ID': 89, 'Player_ID': 297, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.03, 'Actual_Stat': 1.74, 'Result': 'Win', 'Single_Odds': 1.72}]"
